Kelompok,Umur,Berat Badan (kg),Tinggi Badan (cm),Energi (kkal),Protein (g),Lemak Total (g),Lemak Omega 3 (g),Lemak Omega 6 (g),Karbohidrat (g),Serat (g),Air (ml),Vit A (RE),Vit D (mcg),Vit E (mcg),Vit K (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B5 (mg),Vit B6 (mg),Vit B7 (mcg),Vit B9 (mcg),Vit B12 (mcg),Kolin (mg),Vit C (mg),Kalsium (mg),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg),Mangan (mg),Tembaga (mcg),Kromium (mcg),Besi (mg),Iodium (mcg),Seng (mg),Selenium (mcg),Fluor (mg),Klor (mg)
Bayi/Anak,0-6 bulan,6.0,60.0,550.0,9.0,31.0,4.4,0.5,59.0,0.0,700.0,375.0,10.0,4.0,5.0,0.2,0.3,2.0,1.7,0.1,5.0,80.0,0.4,125.0,40.0,200.0,100.0,30.0,120.0,400.0,0.003,200.0,0.2,0.3,90.0,1.1,7.0,0.01,150.0
Bayi/Anak,7-11 bulan,9.0,72.0,800.0,15.0,35.0,4.4,0.5,105.0,11.0,900.0,400.0,10.0,5.0,10.0,0.3,0.4,4.0,1.8,0.3,6.0,80.0,1.5,160.0,50.0,270.0,275.0,55.0,370.0,700.0,0.7,220.0,6.0,11.0,120.0,3.0,10.0,0.5,570.0
Bayi/Anak,1-3 tahun,13.0,92.0,1350.0,20.0,45.0,7.0,0.7,215.0,19.0,1150.0,400.0,15.0,6.0,15.0,0.5,0.5,6.0,2.0,0.5,8.0,160.0,1.5,200.0,40.0,650.0,460.0,65.0,800.0,2600.0,1.2,340.0,14.0,7.0,90.0,3.0,18.0,0.7,1200.0
Bayi/Anak,4-6 tahun,19.0,113.0,1400.0,25.0,50.0,10.0,0.9,220.0,20.0,1450.0,450.0,15.0,7.0,20.0,0.6,0.6,8.0,3.0,0.6,12.0,200.0,1.5,250.0,45.0,1000.0,500.0,95.0,900.0,2700.0,1.5,440.0,16.0,10.0,120.0,5.0,21.0,1.0,1300.0
Bayi/Anak,7-9 tahun,27.0,130.0,1650.0,40.0,55.0,10.0,0.9,250.0,23.0,1650.0,500.0,15.0,8.0,25.0,0.9,0.9,10.0,4.0,1.0,12.0,300.0,2.0,375.0,45.0,1000.0,500.0,135.0,1000.0,3200.0,1.7,570.0,21.0,10.0,120.0,5.0,22.0,1.4,1500.0
Laki-laki,10-12 tahun,38.0,145.0,2000.0,50.0,65.0,12.0,1.2,300.0,28.0,1850.0,600.0,15.0,11.0,35.0,1.1,1.3,12.0,5.0,1.3,20.0,400.0,3.5,375.0,50.0,1200.0,1250.0,160.0,1300.0,3900.0,1.9,700.0,26.0,8.0,120.0,8.0,22.0,1.9,1900.0
Laki-laki,13-15 tahun,50.0,163.0,2400.0,70.0,80.0,16.0,1.6,350.0,34.0,2100.0,600.0,15.0,15.0,55.0,1.2,1.3,16.0,5.0,1.3,25.0,400.0,4.0,550.0,75.0,1200.0,1250.0,225.0,1500.0,4800.0,2.2,795.0,36.0,11.0,150.0,11.0,30.0,2.5,2300.0
Laki-laki,16-18 tahun,60.0,168.0,2650.0,75.0,85.0,16.0,1.6,400.0,37.0,2300.0,700.0,15.0,15.0,55.0,1.2,1.3,16.0,5.0,1.3,30.0,400.0,4.0,550.0,90.0,1200.0,1250.0,270.0,1700.0,5300.0,2.3,890.0,41.0,11.0,150.0,11.0,36.0,4.0,2500.0
Laki-laki,19-29 tahun,60.0,168.0,2650.0,65.0,75.0,17.0,1.6,430.0,37.0,2500.0,650.0,15.0,15.0,65.0,1.2,1.3,16.0,5.0,1.3,30.0,400.0,4.0,550.0,90.0,1000.0,700.0,360.0,1500.0,4700.0,2.3,900.0,36.0,9.0,150.0,11.0,30.0,4.0,2250.0
Laki-laki,30-49 tahun,60.0,168.0,2550.0,65.0,70.0,17.0,1.6,415.0,36.0,2500.0,650.0,15.0,15.0,65.0,1.2,1.3,16.0,5.0,1.3,30.0,400.0,4.0,550.0,90.0,1000.0,700.0,360.0,1500.0,4700.0,2.3,900.0,34.0,9.0,150.0,11.0,30.0,4.0,2250.0
