Nama Bahan Makanan,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,Beta-karoten,Karoten total,Vitamin B1,Vitamin B2,Niasin,Vitamin C,BDD,Mentah/Olahan,Kelompok Makanan
"Blewah, segar",90.2,34.0,0.8,0.2,8.2,0.9,0.7,9.0,15.0,0.2,16.0,267.0,0.04,0.2,,2.029,,0.04,0.02,0.7,37.0,,Tunggal,Buah
"Mentimun Suri, segar",96.3,16.0,1.3,0.0,2.1,0.9,2.9,768.0,422.0,,,,,,,,,,,,25.0,,Tunggal,Buah
Nasi tim,71.0,120.0,2.4,0.4,26.0,0.5,0.2,3.0,7.0,0.4,,23.9,0.1,0.4,,,,0.1,,1.4,,100.0,Olahan,Serealia
"Akar tonjong, segar",86.7,45.0,1.1,0.4,10.8,1.2,1.0,72.0,125.0,1.3,96.0,,0.02,0.2,,83.0,90.0,0.02,0.03,1.9,2.0,100.0,Tunggal,Sayur
"Ale,toge, segar",90.6,37.0,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.0,105.0,0.16,0.4,,,35.0,0.02,0.09,0.6,46.0,90.0,Tunggal,Sayur
"Andaliman, segar",74.2,99.0,4.6,1.0,18.0,8.5,2.2,383.0,107.0,2.9,,,,,,,6.3,3.0,,,15.0,100.0,Tunggal,Sayur
"Ayam goreng pasundan, dada",50.1,246.0,37.9,9.0,0.7,,2.3,90.0,260.0,7.5,,,,,6.0,,70.0,0.16,,,,100.0,Olahan,Daging
"Ayam goreng pasundan, paha",52.8,245.0,33.1,11.4,0.3,,2.5,90.0,283.0,7.3,,,,,8.0,,40.0,0.37,,,,100.0,Olahan,Daging
"Ayam goreng pioneer, dada",44.5,295.0,37.4,14.7,0.6,,2.7,108.0,236.0,6.8,,,,,16.0,,80.0,0.1,,,,100.0,Olahan,Daging
"Ayam goreng sukabumi, dada",49.8,244.0,36.7,9.2,1.0,,3.4,81.0,154.0,6.1,,,,,20.0,,80.0,0.66,,,,100.0,Olahan,Daging
"Ayam goreng sukabumi, paha",46.0,283.0,35.7,14.3,0.5,,3.6,68.0,106.0,5.4,,,,,11.0,,60.0,0.36,,,,100.0,Olahan,Daging
"Ayam, usus, goreng",4.6,473.0,45.2,26.3,13.9,,10.1,1.407,458.0,8.4,,,,,6.0,,224.0,0.57,,,,100.0,Olahan,Daging
"Bayam, kukus",90.7,30.0,1.3,0.7,5.8,1.2,1.6,239.0,35.0,5.7,15.0,431.0,0.1,0.3,,2.699,3.75,0.02,0.1,0.9,32.0,100.0,Olahan,Sayur
"Bayam, rebus",93.5,23.0,1.2,0.6,3.7,1.1,1.0,150.0,35.0,0.5,16.0,308.4,0.2,0.3,,3.282,2.864,0.02,0.1,0.9,19.0,100.0,Olahan,Sayur
"Bayam, segar",94.5,16.0,0.9,0.4,2.9,0.7,1.3,166.0,76.0,3.5,16.0,456.4,0.13,0.4,,2.699,2.293,0.04,0.1,1.0,41.0,71.0,Tunggal,Sayur
Botok lamtoro,63.9,186.0,11.7,9.7,13.0,2.1,2.2,771.0,322.0,26.0,,,,,18.0,,179.0,0.27,,,2.0,100.0,Olahan,Sayur
Brem,37.4,249.0,3.4,0.4,58.0,,0.9,198.0,86.0,2.0,,,,,,,240.0,0.34,,,,100.0,Olahan,Serealia
Brongkos,76.4,141.0,15.3,3.3,12.6,1.0,2.4,87.0,97.0,5.1,,,,,4.0,,356.0,0.4,,,,100.0,Olahan,Daging
"Buncis, rebus",90.6,30.0,2.2,0.2,6.4,1.5,0.6,107.0,47.0,0.5,7.0,138.9,0.1,0.3,,1.0,402.0,0.01,0.29,2.0,8.0,100.0,Olahan,Sayur
"Buncis, segar",89.6,34.0,2.4,0.3,7.2,1.9,0.5,101.0,42.0,0.7,8.0,250.0,0.07,0.3,,772.0,550.0,0.05,0.4,2.8,11.0,90.0,Tunggal,Sayur
"Bunga pepaya, segar",87.3,45.0,2.6,0.3,8.1,1.6,1.7,290.0,113.0,4.2,2.0,478.3,0.08,0.8,,2.792,5.0,0.01,0.28,1.0,23.0,100.0,Tunggal,Sayur
Buntil daun talas,74.5,141.0,4.4,10.2,8.0,1.8,3.0,149.0,121.0,14.5,,,,,13.0,,8.61,0.25,,,1.0,100.0,Olahan,Sayur
"Caisin, segar",93.6,20.0,1.7,0.4,3.4,1.2,0.9,123.0,40.0,1.9,18.0,358.2,0.05,1.4,,1.675,4.188,0.04,0.19,0.6,3.0,100.0,Tunggal,Sayur
"Daun bangun-bangun, segar",92.5,27.0,1.3,0.6,4.0,1.0,1.6,279.0,40.0,13.6,4.0,144.0,,,,1.489,13.288,0.16,0.1,,5.0,66.0,Tunggal,Sayur
"Daun bebuas, segar",87.9,41.0,2.7,1.0,7.3,2.1,1.1,29.0,245.0,1.5,,,,,,,3.099,0.01,,,3.0,49.0,Tunggal,Sayur
"Daun belem, segar",84.6,50.0,4.4,1.4,7.8,1.9,1.8,698.0,151.0,7.5,,,,,,,13.072,0.05,,,21.0,81.0,Tunggal,Sayur
"Daun gelang, segar",90.3,30.0,1.3,0.7,5.8,1.3,1.9,350.0,210.0,11.9,5.0,333.3,0.31,1.2,,4.701,1.954,0.01,0.14,0.7,1.0,52.0,Tunggal,Sayur
"Daun gunda bali, segar",86.4,50.0,4.6,0.9,7.0,1.4,1.1,167.0,62.0,0.5,,,,,,,6.571,0.05,,,20.0,49.0,Tunggal,Sayur
"Daun gunda serang, segar",84.6,62.0,4.2,0.9,9.2,1.3,1.1,171.0,64.0,0.6,,,,,,,7.347,0.02,,,20.0,47.0,Tunggal,Sayur
"Daun jampang, segar",88.9,34.0,3.8,0.5,5.3,1.4,1.5,21.0,245.0,1.0,,,,,,,4.357,0.03,,,3.0,47.0,Tunggal,Sayur
"Daun jonghe, segar",91.4,27.0,2.1,0.7,4.4,2.0,1.4,253.0,192.0,9.5,,,,,,,5.057,0.01,,,1.0,45.0,Tunggal,Sayur
"Daun kacang ma, segar",89.1,36.0,2.9,0.6,6.8,1.8,0.6,64.0,220.0,2.2,7.0,485.3,0.2,0.3,,2.893,4.377,0.04,0.18,1.2,4.0,33.0,Tunggal,Sayur
"Daun kacang panjang, kukus",87.2,40.0,3.7,0.3,8.0,1.8,0.8,111.0,66.0,3.7,6.0,419.5,0.2,0.3,,2.645,5.781,0.15,0.2,0.9,11.0,100.0,Olahan,Sayur
"Daun kacang panjang, segar",89.7,30.0,3.1,0.3,5.8,1.7,1.1,200.0,66.0,4.5,7.0,458.6,0.2,0.3,,2.734,4.592,0.33,0.2,1.1,30.0,65.0,Tunggal,Sayur
"Daun katuk, rebus",83.3,53.0,5.3,0.9,9.1,1.2,1.4,185.0,102.0,3.1,16.0,291.3,0.3,1.3,,11.131,9.0,,0.3,2.2,66.0,100.0,Olahan,Sayur
"Daun katuk, segar",81.0,59.0,6.4,1.0,9.9,1.5,1.7,233.0,98.0,3.5,21.0,478.8,0.3,1.3,,9.152,10.02,,0.31,2.3,164.0,40.0,Tunggal,Sayur
"Daun kelor, rebus",80.3,61.0,6.1,0.9,10.0,0.9,2.6,255.0,36.0,2.1,45.0,181.2,0.1,0.6,,3.972,6.071,0.1,0.1,4.0,13.0,100.0,Olahan,Sayur
"Daun kesum, segar",84.8,48.0,4.5,0.8,9.1,1.6,0.8,125.0,142.0,2.6,11.0,174.7,0.4,1.2,,4.216,8.715,0.01,0.1,1.6,4.0,53.0,Tunggal,Sayur
"Daun kol sawi, segar",93.1,22.0,2.1,0.5,3.6,0.9,0.7,200.0,92.0,3.2,19.0,386.2,0.1,0.2,,1.806,2.177,0.03,0.2,0.6,3.0,87.0,Tunggal,Sayur
"Daun kumak, segar",95.2,14.0,1.3,0.3,2.3,0.9,0.9,90.0,59.0,2.7,2.0,36.5,0.1,0.3,,1.274,2.961,0.01,,0.5,3.0,78.0,Tunggal,Sayur
"Daun lamtoro, segar",74.0,87.0,8.3,1.8,14.4,3.3,1.5,725.0,174.0,3.9,10.0,197.7,0.5,1.4,,6.9,13.04,,0.1,2.3,32.0,40.0,Tunggal,Sayur
"Daun matel ambon, segar",77.1,71.0,6.8,1.6,11.5,4.6,3.0,93.0,95.0,10.2,,,,,,,49.0,0.08,,,26.0,100.0,Tunggal,Sayur
"Daun mengkudu, kukus",81.6,63.0,3.8,1.5,11.5,2.4,1.6,300.0,43.0,6.0,,,,,,2.0,4.9,0.08,0.1,5.2,11.0,100.0,Olahan,Sayur
"Daun mengkudu, segar",80.9,65.0,4.0,1.7,11.4,3.9,2.0,296.0,40.0,6.9,,,,,,2.0,4.958,0.01,0.1,5.7,35.0,90.0,Tunggal,Sayur
"Daun pakis, segar",86.8,39.0,4.5,0.4,6.9,2.0,1.4,136.0,159.0,2.3,20.0,201.9,0.2,0.3,,1.625,3.292,0.02,0.1,0.5,3.0,70.0,Tunggal,Sayur
"Daun pohpohan, segar",87.4,37.0,2.5,0.8,6.9,2.6,2.4,744.0,80.0,5.9,,,,,,,7.378,0.03,,,5.0,69.0,Tunggal,Sayur
"Daun semanggi, segar",84.7,45.0,4.4,0.5,8.5,1.9,1.9,98.0,90.0,7.0,64.0,520.7,0.5,0.3,,64.0,3.365,0.01,0.5,0.7,6.0,90.0,Tunggal,Sayur
"Daun simpur, segar",86.2,53.0,3.2,2.5,7.6,1.6,0.9,228.0,194.0,3.5,,,,,,,3.346,0.02,,,5.0,100.0,Tunggal,Sayur
"Daun singkil, segar",80.9,68.0,2.0,1.0,15.2,3.3,0.9,178.0,86.0,2.1,,,,,,,6.042,0.02,,,3.0,70.0,Tunggal,Sayur
"Daun singkong, rebus",90.5,31.0,3.7,0.6,4.8,1.6,0.4,160.0,50.0,2.6,13.0,14.0,0.1,2.0,,3.897,4.15,0.02,0.1,1.7,34.0,100.0,Olahan,Sayur
"Daun singkong, segar",84.4,50.0,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,,3.204,7.052,0.04,0.1,1.8,103.0,87.0,Tunggal,Sayur
"Daun sintrong, segar",88.5,36.0,2.6,0.9,6.1,1.7,1.9,398.0,95.0,9.3,64.0,444.4,0.1,0.4,,10.178,8.868,0.03,0.2,0.9,3.0,94.0,Tunggal,Sayur
"Daun talas, rebus",91.6,27.0,1.3,0.2,5.9,1.6,1.0,119.0,41.0,1.4,3.0,519.4,0.5,0.5,,4.641,2.682,,0.6,1.9,7.0,100.0,Olahan,Sayur
"Daun talas, segar",81.1,59.0,3.0,0.4,13.5,3.0,2.0,236.0,50.0,2.4,4.0,854.1,0.4,0.5,,3.816,5.74,0.07,0.6,2.0,24.0,80.0,Tunggal,Sayur
"Daun ubi merah, kukus",82.5,56.0,3.1,0.3,13.0,1.5,1.1,78.0,52.0,4.3,28.0,472.8,0.1,0.4,,5.277,5.397,,0.2,1.1,14.0,100.0,Olahan,Sayur
"Daun ubi merah, segar",84.4,48.0,3.0,0.3,10.8,1.4,1.5,80.0,81.0,6.4,33.0,517.3,,0.4,,5.453,4.697,0.1,0.2,1.2,27.0,75.0,Tunggal,Sayur
Gado-gado,68.5,137.0,6.1,3.2,21.0,1.1,1.5,301.0,135.0,7.5,,,,,3.0,,5.929,0.1,,,1.0,100.0,Olahan,Sayur
"Gudeg, sayur",69.2,160.0,3.3,9.2,16.0,2.3,2.1,62.0,55.0,12.8,,,,,,,166.0,0.15,,,,100.0,Olahan,Sayur
Gulai pakis,76.1,143.0,4.0,11.4,6.0,1.4,2.6,548.0,124.0,1.7,,,,,11.0,,9.802,0.35,,,1.0,100.0,Olahan,Sayur
"Kacang babi, kering",11.6,341.0,30.4,3.2,51.3,4.5,3.5,178.0,521.0,6.8,13.0,,0.82,3.1,,,87.0,0.23,0.33,2.8,,80.0,Tunggal,Kacang
